iter	Passed	Remaining
0	7	7453
1	64	32155
2	81	27194
3	95	23858
4	107	21376
5	123	20520
6	137	19565
7	147	18347
8	158	17484
9	169	16767
10	178	16066
11	190	15652
12	199	15152
13	211	14876
14	225	14821
15	237	14591
16	254	14705
17	265	14496
18	276	14288
19	288	14159
20	299	13974
21	318	14146
22	331	14099
23	348	14186
24	358	13980
25	369	13839
26	378	13644
27	391	13587
28	401	13429
29	413	13379
30	423	13236
31	434	13130
32	442	12972
33	456	12959
34	465	12838
35	475	12730
36	484	12602
37	492	12473
38	501	12367
39	515	12361
40	525	12280
41	533	12166
42	545	12138
43	567	12319
44	586	12455
45	596	12369
46	607	12313
47	615	12203
48	626	12155
49	641	12192
50	650	12111
51	661	12051
52	670	11982
53	679	11900
54	687	11819
55	698	11767
56	714	11813
57	729	11842
58	745	11882
59	759	11899
60	769	11846
61	783	11855
62	793	11808
63	807	11808
64	817	11763
65	826	11695
66	836	11653
67	851	11670
68	860	11610
69	870	11561
70	879	11510
71	893	11511
72	911	11571
73	922	11548
74	936	11549
75	945	11497
76	957	11474
77	1017	12032
78	1033	12044
79	1045	12026
80	1055	11978
81	1062	11897
82	1071	11839
83	1079	11772
84	1087	11708
85	1096	11653
86	1110	11658
87	1118	11591
88	1126	11534
89	1133	11463
90	1141	11406
91	1150	11350
92	1160	11315
93	1171	11290
94	1180	11244
95	1195	11259
96	1205	11217
97	1211	11155
98	1220	11106
99	1232	11096
100	1241	11048
101	1247	10980
102	1255	10931
103	1261	10867
104	1268	10811
105	1274	10751
106	1281	10692
107	1294	10687
108	1301	10639
109	1308	10588
110	1317	10549
111	1325	10512
112	1334	10478
113	1344	10446
114	1352	10408
115	1376	10492
116	1388	10478
117	1399	10463
118	1407	10423
119	1415	10379
120	1421	10328
121	1433	10315
122	1439	10266
123	1446	10219
124	1453	10172
125	1460	10133
126	1467	10088
127	1474	10045
128	1482	10008
129	1493	9996
130	1500	9956
131	1510	9933
132	1517	9894
133	1524	9854
134	1532	9821
135	1539	9779
136	1550	9765
137	1559	9740
138	1580	9787
139	1592	9779
140	1601	9759
141	1612	9743
142	1626	9746
143	1635	9722
144	1645	9704
145	1653	9673
146	1663	9650
147	1676	9653
148	1683	9617
149	1693	9595
150	1702	9570
151	1709	9537
152	1719	9521
153	1727	9492
154	1734	9457
155	1740	9418
156	1754	9420
157	1764	9400
158	1773	9382
159	1784	9370
160	1793	9344
161	1802	9322
162	1809	9294
163	1819	9274
164	1829	9256
165	1837	9229
166	1844	9199
167	1851	9169
168	1858	9137
169	1865	9107
170	1879	9112
171	1889	9094
172	1897	9068
173	1904	9038
174	1912	9014
175	1919	8986
176	1927	8962
177	1936	8944
178	1944	8918
179	1951	8890
180	1960	8871
181	1973	8868
182	1985	8864
183	2041	9055
184	2057	9063
185	2068	9052
186	2083	9057
187	2092	9038
188	2106	9038
189	2115	9019
190	2124	9000
191	2137	8994
192	2155	9014
193	2172	9027
194	2182	9008
195	2191	8988
196	2212	9016
197	2224	9011
198	2237	9006
199	2256	9025
200	2272	9033
201	2281	9011
202	2295	9011
203	2305	8997
204	2318	8990
205	2334	8999
206	2341	8971
207	2351	8953
208	2359	8930
209	2369	8912
210	2435	9105
211	2503	9303
212	2520	9311
213	2554	9383
214	2568	9377
215	2577	9356
216	2586	9332
217	2623	9412
218	2633	9392
219	2643	9371
220	2680	9447
221	2695	9444
222	2710	9443
223	2727	9447
224	2742	9447
225	2754	9434
226	2769	9432
227	2781	9419
228	2792	9401
229	2809	9406
230	2818	9381
231	2829	9368
232	2836	9336
233	2844	9310
234	2851	9281
235	2863	9268
236	2871	9245
237	2879	9218
238	2902	9241
239	2909	9214
240	2923	9206
241	2933	9189
242	2941	9164
243	2950	9142
244	2957	9115
245	2966	9092
246	2972	9062
247	2984	9050
248	2991	9021
249	3000	9002
250	3007	8975
251	3014	8949
252	3025	8932
253	3033	8908
254	3040	8884
255	3049	8861
256	3057	8840
257	3070	8829
258	3079	8809
259	3088	8790
260	3119	8832
261	3138	8840
262	3146	8818
263	3155	8798
264	3165	8779
265	3172	8754
266	3182	8738
267	3192	8720
268	3199	8694
269	3205	8667
270	3215	8650
271	3222	8624
272	3230	8602
273	3237	8577
274	3250	8569
275	3259	8549
276	3267	8527
277	3278	8515
278	3284	8488
279	3295	8474
280	3307	8462
281	3317	8447
282	3326	8426
283	3333	8403
284	3341	8382
285	3347	8357
286	3357	8340
287	3362	8314
288	3371	8293
289	3377	8268
290	3388	8255
291	3395	8233
292	3403	8213
293	3414	8198
294	3422	8178
295	3428	8155
296	3436	8134
297	3458	8146
298	3467	8129
299	3476	8111
300	3487	8098
301	3497	8082
302	3513	8082
303	3526	8074
304	3544	8075
305	3556	8066
306	3572	8065
307	3585	8054
308	3591	8032
309	3606	8026
310	3615	8010
311	3623	7989
312	3634	7977
313	3642	7958
314	3651	7941
315	3663	7928
316	3670	7908
317	3678	7890
318	3684	7866
319	3693	7849
320	3701	7828
321	3719	7831
322	3729	7816
323	3738	7800
324	3747	7783
325	3753	7760
326	3761	7742
327	3769	7722
328	3779	7708
329	3786	7686
330	3793	7667
331	3800	7647
332	3809	7631
333	3818	7613
334	3826	7595
335	3840	7589
336	3848	7571
337	3858	7557
338	3872	7551
339	3880	7533
340	3896	7529
341	3908	7520
342	3920	7508
343	3961	7553
344	3971	7540
345	3981	7525
346	3996	7521
347	4005	7504
348	4011	7483
349	4021	7469
350	4027	7447
